strategy,episodes,failure_episodes,total_steps,total_verifier_calls,mean_calls_per_episode,verifier_call_rate,warning_coverage,early_warning_rate,missed_warning_rate,mean_lead_chunks,median_lead_chunks,mean_positive_lead_chunks,median_positive_lead_chunks,terminal_episode_rate,decision_counts,row_type,baseline,event_driven_call_reduction,event_driven_calls,fixed_rate_calls
event_driven,2503,2503,313280,6735,2.6907710747103475,0.021498340143003065,0.982820615261686,0.9776268477826608,0.017179384738314023,55.20095884938074,29.0,56.6657131181038,30.0,1.0,"{""abstain"": 2503, ""continue"": 4231, ""watch"": 1}",summary,,,,
fixed_rate_1,2503,2503,313280,5641,2.253695565321614,0.01800625638406537,0.993607670795046,0.9920095884938074,0.006392329204954055,55.801837794646424,30.0,56.30769230769231,31.0,1.0,"{""abstain"": 2503, ""continue"": 3134, ""watch"": 4}",summary,,,,
fixed_rate_3,2503,2503,313280,4117,1.6448262085497403,0.013141598569969357,0.9832201358369956,0.9824210946863764,0.016779864163004393,55.29138276553106,30.0,56.33631557543717,31.0,0.9968038353975229,"{""abstain"": 2495, ""continue"": 1620, ""watch"": 2}",summary,,,,
fixed_rate_5,2503,2503,313280,3849,1.53775469436676,0.012286133810010215,0.9800239712345186,0.9788254095085897,0.01997602876548142,54.585639791415964,29.0,55.81061224489796,30.0,0.9960047942469037,"{""abstain"": 2493, ""continue"": 1355, ""watch"": 1}",summary,,,,
fixed_rate_10,2503,2503,313280,3563,1.4234918098282061,0.011373212461695608,0.9680383539752297,0.9664402716739912,0.03196164602477027,53.74838187702265,28.0,55.4390243902439,29.0,0.9876148621654015,"{""abstain"": 2472, ""continue"": 1090, ""watch"": 1}",summary,,,,
fixed_rate_15,2503,2503,313280,3519,1.4059129045145824,0.01123276302349336,0.9564522572912505,0.9552536955653216,0.043547742708749504,52.735702614379086,28.0,54.75533249686324,28.0,0.9780263683579704,"{""abstain"": 2448, ""continue"": 1070, ""watch"": 1}",summary,,,,
fixed_rate_30,2503,2503,313280,3293,1.3156212544946064,0.010511363636363636,0.9276867758689572,0.9264882141430284,0.07231322413104276,52.304108428631935,27.0,54.04139715394567,28.0,0.9432680783060328,"{""abstain"": 2361, ""continue"": 930, ""watch"": 2}",summary,,,,
fixed_rate_45,2503,2503,313280,3088,1.2337195365561326,0.009856996935648621,0.9037155413503796,0.9037155413503796,0.09628445864962046,52.189796800691745,27.0,54.63660477453581,28.0,0.923691570115861,"{""abstain"": 2312, ""continue"": 774, ""watch"": 2}",summary,,,,
fixed_rate_60,2503,2503,313280,2963,1.1837794646424291,0.009457992849846782,0.8901318417898522,0.8893328006392329,0.10986815821014782,52.39172535211268,28.0,54.707996406109615,28.5,0.9077107471034759,"{""abstain"": 2272, ""continue"": 689, ""watch"": 2}",summary,,,,
,,,,,,,,,,,,,,,,comparison,fixed_rate_1,-0.19393724516929622,6735.0,5641.0
,,,,,,,,,,,,,,,,comparison,fixed_rate_3,-0.6358999271314063,6735.0,4117.0
,,,,,,,,,,,,,,,,comparison,fixed_rate_5,-0.7498051441932969,6735.0,3849.0
,,,,,,,,,,,,,,,,comparison,fixed_rate_10,-0.8902610159977546,6735.0,3563.0
,,,,,,,,,,,,,,,,comparison,fixed_rate_15,-0.9138959931798807,6735.0,3519.0
,,,,,,,,,,,,,,,,comparison,fixed_rate_30,-1.045247494685697,6735.0,3293.0
,,,,,,,,,,,,,,,,comparison,fixed_rate_45,-1.1810233160621761,6735.0,3088.0
,,,,,,,,,,,,,,,,comparison,fixed_rate_60,-1.2730340870739116,6735.0,2963.0
